Code,Desc,Male,Female
23510,Manufacture of cement,,
23520,Manufacture of lime and plaster,*,
23610,Man conc prod for constrcn purp,856,*
23620,Man plaster prod for constrcn purp,*,
23630,Manufof readymixed concrete,*,
23640,Manufacture of mortars,,
23650,Manufacture of fibre cement,,
23690,"Man othr art of conc, plstr & cmnt",*,
23700,"Cutting, shaping & finishing stone",795,*
23910,Production of abrasive products,,
23990,Man othr nonmet min prod n.e.c.,*,
24100,"Man basic iron, steel & ferroally",1771,*
24200,Man holow prof & rltd fit of steel,1326,*
24310,Cold drawing of bars,,
24320,Cold rolling of narrow strip,,
24330,Cold forming or folding,*,
24340,Cold drawing of wire,*,
24410,Precious metals production,,
24420,Aluminium production,,
24430,"Lead, zinc and tin production",,*
24440,Copper production,*,
24450,Other nonferrous metal production,,
24460,Processing of nuclear fuel,*,
24510,Casting of iron,,
24520,Casting of steel,,
24530,Casting of light metals,*,
24540,Casting of othr nonferrous metals,,
25110,Man met structs & parts of structs,966,*
25120,Manu doors and windows of metal,400,*
25210,Manu cent heating radiators & boil,,
25290,"Man oth tnks, resvrs & cont of met",*,
25300,"Manu of steam gen, exc CH boilers",305,
25400,Manuf of weapons and ammunition,*,
25500,"Forg, press, stamp & rollform met",,
25610,Treatment and coating of metals,*,
25620,Machining,8900,593
25710,Manufacture of cutlery,,
25720,Manufacture of locks and hinges,1830,
25730,Manufacture of tools,*,*
25910,Man steel drums & sim containers,,
25920,Manuf of light metal packaging,,
25930,"Man of wire prods, chain & springs",,*
25940,Man of fasteners & screw mchn prod,*,
25990,Man other fabr metal prod n.e.c.,1449,*
26110,Manufof electronic components,825,*
26120,Manuf of loaded electronic boards,*,
26200,Manuf computers & peripheral eqmt,1408,
26300,Manuf of communication equipment,715,
26400,Manuf of consumer electronics,*,
26510,"Man instr for meas, testing & nav",2138,*
26520,Manufacture of watches and clocks,*,
26600,Man irradiation & electromed eqmt,*,*
26700,Man opt instruments & photo eqmt,,*
26800,Manu magnetic and optical media,*,
27110,"Manu of elect motors, gen & transf",*,
27120,Man elctrcty dist & cont apparatus,,
27200,Manu batteries and accumulators,,
27310,Manufacture of fibre optic cables,,
27320,Man oth elctrnc & elec wirescable,*,
27330,Manufacture of wiring devices,,
27400,Manu electric lighting equipment,*,*
27510,Manu electric domestic appliances,,*
27520,Manu of nonelectric domestic appl,*,*
27900,Manu of other electrical eqmt,515,*
28110,"Man eng & turb, ex airvehcyc eng",978,
28120,Manuf of fluid power equipment,*,
28130,Man other pumps and compressors,*,
28140,Manuf of other taps and valves,*,*
28150,"Man bear, gear, grng & drvng elmnt",*,
28210,"Man ovens, furnaces & furnace burn",*,*
28220,Manu lifting & handling equipment,357,
28230,Man off mchn & eqmt exc PC & acc,*,
28240,Manuf of powerdriven hand tools,*,
28250,Man nondom cooling & ventiln eqmt,*,
28290,Man other genpurp machinry n.e.c.,2275,
28300,Man agricultural & forestry mchnry,*,
28410,Manuf of metal forming machinery,1029,
28490,Manufacture of other machine tools,,
28910,Manuf of machinery for metallurgy,,
28920,"Man mchnry for mng, quarr & constr",*,*
28930,"Man mcnry for food, bev & tob proc",1116,378
28940,"Man mchn for txt, app & lethr prod",1160,*
28950,Man mchnry for pper & pperbrd prod,,
28960,Man plastics and rubber machinery,*,
28990,Man othr specpurp mchnry n.e.c.,,
29100,Manufacture of motor vehicles,3702,
29200,Man bodies for motor veh & trailer,1070,*
29310,Man of electric eqmt for motor veh,*,
29320,Man othr parts & acc for motor veh,2811,*
30110,Buildng of ships & floating struct,1673,*
30120,Buildng pleasure & sportng boats,1191,
30200,Manu railway loco & rolling stock,*,
30300,Manu air & spacecraft & rel mchnry,3183,*
30400,Manuf military fighting vehicles,*,
30910,Manufacture of motorcycles,854,
30920,Manu bicycles & invalid carriages,*,
30990,Manu other transport eqmt n.e.c.,,
31010,Manuf of office and shop furniture,2197,
31020,Manufacture of kitchen furniture,871,
31030,Manufacture of mattresses,*,
31090,Manufacture of other furniture,7528,1410
32110,Striking of coins,,
32120,Manu jewellery & related articles,1513,798
32130,Man imitation jewellery & rltd art,,2065
32200,Manufacture of musical instruments,1577,
32300,Manufacture of sports goods,*,*
32400,Manufacture of games and toys,*,1083
32500,Man med & dental instruments & sup,3483,1365
32910,Manufacture of brooms and brushes,*,
32990,Other manufacturing n.e.c.,2002,492
33110,Repair of fabricated metal prodts,1562,
33120,Repair of machinery,11704,711
33130,Repair of electrnc & optical eqmt,2651,
33140,Repair of electrical equipment,2471,*
33150,Repair & maintenance ships & boats,*,
33160,Repair & main aircraft & spacecrft,1156,
33170,Repair & main trnsport eqmt n.e.c.,2116,*
33190,Repair of other equipment,*,*
33200,Installation ind mchnry & equipmnt,5973,*
35110,Production of electricity,5452,*
35120,Transmission of electricity,*,
35130,Distribution of electricity,1538,
35140,Trade of electricity,2169,*
35210,Manufacture of gas,931,*
35220,Dist of gaseous fuels thrgh mains,1908,*
35230,Trade of gas through mains,*,
35300,Steam and air conditioning supply,*,
36000,"Water collction, treatmnt & supply",1769,*
37000,Sewerage,392,*
38110,Collection of nonhazardous waste,3415,*
38120,Collection of hazardous waste,*,
38210,Treatmnt & disp of nonhazrd waste,479,
38220,Treatmnt & disp of hazrdous waste,*,
38310,Dismantling of wrecks,,
38320,Recovery of sorted materials,831,*
39000,Remdiatn actv & oth wste mgmt serv,1797,*
41100,Development of building projects,24201,9960
41200,Constr of res and nonres buildngs,280176,8577
42110,Construction of roads and motrways,19800,370
42120,Constr railwys & undgrnd railwys,4647,*
42130,Constructn of bridges and tunnels,974,*
42210,Constr of utility proj for fluids,2039,*
42220,Constr util proj for elec & telcom,3052,*
42910,Construction of water projects,4384,
42990,Constr other civil eng proj n.e.c.,18713,1414
43110,Demolition,821,
43120,Site preparation,1071,*
43130,Test drilling and boring,*,
43210,Electrical installation,62728,1995
43220,"Plumbng, heat & aircon installatn",90521,1932
43290,Other construction installation,9690,*
43310,Plastering,30961,*
43320,Joinery installation,108455,951
43330,Floor and wall covering,25084,1039
43340,Painting and glazing,77575,1426
43390,Othr buildng completn & finishing,29115,1251
43910,Roofing activities,29822,1853
43990,Othr specsd constr actv n.e.c.,54688,1065
45110,Sale of cars & light motor vehles,9298,1448
45190,Sale of other motor vehicles,1768,*
45200,Maintenance & repair motor vehles,52600,3056
45310,Wsale trade motor veh parts & acc,1477,*
45320,Ret trade of motor veh parts & acc,4255,839
45400,"Sale, main, rep mtrcycle & rel prt",2220,
46110,Agnts inv in sale of agri raw mat,*,
46120,Agnts inv sale fuelmetind chem,1073,729
46130,Agnts inv in sale timb & bldng mat,1064,*
46140,Agnts inv sale ind eqmtshipsairc,652,*
46150,Agnts inv sale hhold gdsironmngry,578,
46160,Agnts inv sale text & lether goods,,342
46170,"Agnts inv in sale food, bev & tob",,*
46180,Agnts specsd sale othr part prod,1325,3023
46190,Agents inv in sale variety goods,,
46210,Wsale grainuman tobseedsanml fd,405,
46220,Wholesale of flowers and plants,*,*
46230,Wholesale of live animals,901,830
46240,"Wsale of hides, skins and leather",,
46310,Wholesale of fruit and vegetables,1193,*
46320,Whlesale of meat and meat products,651,
46330,"Wsale dairy prod, edible oilsfats",642,
46340,Wholesale of beverages,1213,673
46350,Wholesale of tobacco products,*,
46360,Wsale of sugar & choc & sugar conf,1511,617
46370,"Wsale coffee, tea, cocoa & spices",,
46380,"Wsale of oth food, inc seafood",801,*
46390,"Nonspec wsale of food, bev & tob",4601,336
46410,Wholesale of textiles,1696,
46420,Wholesale of clothing and footwear,2116,2307
46430,Wsale of electrical household appl,5055,
46440,Wsale china & glasswre & clean mat,420,*
46450,Wholesale of perfume and cosmetics,*,1164
46460,Wholesale of pharmaceutical goods,949,*
46470,"Wsale furn, carpts & lightng eqmt",2614,361
46480,Wholesale of watches and jewellery,,*
46490,Wholesale of other household goods,5572,2657
46510,"Wsale comp, comp perp eqmt & sftwr",*,
46520,Wsale elctrnc & telecom eqmt & prt,935,*
46610,"Wsale of agric mchnry, eqmt & supp",528,*
46620,Wholesale of machine tools,*,
46630,"Wsale mining, cons & civ eng mcnry",2463,
46640,Wsale of mchnry for textile ind,,
46650,Wholesale of office furniture,,
46660,Wsale of other off machinry & eqmt,*,
46690,Wsale of other machinery & eqmt,4678,616
46710,Wsale solliqgas fuel & rltd prod,1167,*
46720,Wholesale of metals and metal ores,665,
46730,"Wsale wood, constr mat & san eqmt",2840,691
46740,Wholesale of DIY eqmt & supp,1554,*
46750,Wholesale of chemical products,1285,
46760,Wsale of other intermediate prod,1691,562
46770,Wholesale of waste and scrap,2299,*
46900,Nonspecialised wholesale trade,1409,*
47110,Ret sale nonspec str foodbevtob,15163,6850
47190,Oth ret sale in nonspec stores,2417,749
47210,Ret sale fruit & veg in spec store,3627,663
47220,Ret sale meat & rel prod spec strs,5525,2345
47230,Ret sale of seafood in spec stores,*,*
47240,Ret sale of bakery prod spec stres,2294,3663
47250,Ret sale of bev in spec stores,2483,*
47260,Ret sale of tob prod in spec stres,399,
47290,Othr ret sale of food in spec strs,3744,2276
47300,Ret sale of auto fuel in spec strs,2769,1287
47410,Ret sale PC eqmt & acc spec strs,1996,*
47420,Ret sale of telcom eqp spec store,*,
47430,Ret sale aud & vid eqmt spec strs,739,
47510,Ret sale of text in specsd stores,2690,3316
47520,Ret sale hardware eqmt spec strs,7396,1669
47530,Ret sale of d?r eqmt spec stores,1203,901
47540,Ret sale of white goods spec stres,1110,655
47590,Ret sale of fixfit in spec strs,7400,3633
47610,Ret sale of books in specsd stores,1526,192
47620,Ret sale newsp & stat in spec strs,1004,3077
47630,Ret sale mus & vid rec spec strs,703,
47640,Ret sale of sprt eqmt in spec strs,4557,1166
47650,Ret sale of games & toys spec stre,367,552
47710,Ret sale of clothing in spec stres,10767,12693
47720,Ret sale ftwr & lthr gds spec strs,523,*
47730,Disp chemist in specsd stores,7299,3086
47740,Ret sale of med eqmt in spec stres,1361,*
47750,Ret sale cos & toltries spec strs,*,2556
47760,Ret sale flwrs & pets in spec strs,3121,7708
47770,Ret sale jewlry items in spec strs,3815,4297
47780,Oth ret sale new gds in spec strs,9519,20568
47790,Ret sale of secndhnd goods in str,7639,5198
47810,"Ret sale; stlls & mrkt fd,bev,tobc",1476,1273
47820,"Ret sale; stlls & mrkt clthg, ftwr",646,860
47890,Ret sale via stalls & mrkt oth gds,3026,*
47910,"Ret sale mail order houses, intrnt",11559,14426
47990,Othr ret sale exc stores etc,6742,2546
49100,"Passngr rail transport, interurban",1490,
49200,Freight rail transport,,*
49310,Urban & sub passngr land transport,5779,1942
49320,Taxi operation,174893,7438
49390,Other passngr land transprt n.e.c.,2709,769
49410,Freight transport by road,35341,1900
49420,Removal services,7271,859
49500,Transport via pipeline,434,
50100,Sea & coastal pass water transport,1169,
50200,Sea & coastal freight watr trnsprt,*,*
50300,Inland passenger water transport,*,
50400,Inland freight water transport,,
51100,Passenger air transport,511,
51210,Freight air transport,*,
51220,Space transport,,
52100,Warehousing and storage,2210,*
52210,Serv actv incidental to land trans,1720,*
52220,Serv actv incidental to wter trans,2120,
52230,Serv actv incidental to air trans,412,
52240,Cargo handling,*,*
52290,Other transportation supp acts,4190,*
53100,Post actv under univesl serv oblig,5607,2639
53200,Other postal and courier acts,30451,6467
55100,Hotels and similar accommodation,2455,6684
55200,Holiday and other short stay accom,10500,21931
55300,"Cmpg grnd, rec veh prk & trail prk",1292,1166
55900,Other accommodation,946,2901
56100,Restnt & mobile food servc actv,47279,26336
56210,Event catering activities,7485,10346
56290,Other food service activities,,*
56300,Beverage serving activities,11196,6209
58110,Book publishing,3166,7257
58120,Publ of directs & mailing lists,,
58130,Publishing of newspapers,3236,759
58140,Publishng of journls & periodicls,6980,4039
58190,Other publishing activities,4403,4380
58210,Publishing of computer games,,
58290,Other software publishing,2150,*
59110,"Motn pic, vid & tv prog prod actv",21086,10873
59120,"Motn pic, vid & tv prog popro act",2629,1367
59130,"Motn pic, vid & tv prog dist actv",554,
59140,Motn picture projection activities,,*
59200,Sound recording & music publ actv,3588,692
60100,Radio broadcasting,1566,*
60200,Tv programming & broadcasting actv,7213,1434
61100,Wired telecomtions activities,1479,657
61200,Wireless telecomtions activities,3020,1009
